PS.UID	CAM	TIMECODE	ACTION.TYPE	GENDER	AGE.GROUP	DB.OPERATOR	COMMENT	QUESTION
1559	K2	2019-09-08 14:36:14	ballot cast	m	old	Alexei Kouprianov		
1559	K2	2019-09-08 14:36:30	ballot cast	m	old	Alexei Kouprianov		
1559	K2	2019-09-08 14:36:55	ballot cast	m	medium	Alexei Kouprianov		
1559	K2	2019-09-08 14:37:17	ballot cast	f	medium	Alexei Kouprianov		
1559	K2	2019-09-08 14:38:02	ballot cast	f	old	Alexei Kouprianov		
1559	K2	2019-09-08 14:38:13	ballot cast	f	old	Alexei Kouprianov		
1559	K2	2019-09-08 14:39:31	ballot cast	m	old	Alexei Kouprianov		
1559	K2	2019-09-08 14:40:23	ballot cast	f	medium	Alexei Kouprianov		
1559	K2	2019-09-08 14:41:17	ballot cast	f	medium	Alexei Kouprianov		
1559	K2	2019-09-08 14:42:56	strange behaviour	f	old	Alexei Kouprianov	Woman leaves the station with her ballots without casting them. Re-appears at 14:52:16	
1559	K2	2019-09-08 14:43:02	ballot cast	m	young	Alexei Kouprianov		
1559	K2	2019-09-08 14:46:11	ballot cast	f	young	Alexei Kouprianov		
1559	K2	2019-09-08 14:46:40	ballot cast	m	medium	Alexei Kouprianov		
1559	K2	2019-09-08 14:49:00	ballot cast	m	young	Alexei Kouprianov	A little girl that came with this man and another young=to=medium aged woman (for some reason she does not vote) throws the ballots for him.	What is about that woman ballots?
1559	K2	2019-09-08 14:52:16	ballot cast	f	old	Alexei Kouprianov		
1559	K2	2019-09-08 14:56:30	ballot cast	f	old	Alexei Kouprianov	Crosses herself othodox way after throwing a ballot	
1559	K2	2019-09-08 14:58:27	ballot cast	f	young	Alexei Kouprianov		
1559	K2	2019-09-08 14:58:31	ballot cast	m	young	Alexei Kouprianov	150001=062711	
1559	K2	2019-09-08 15:04:29	ballot cast	m	medium	Alexei Kouprianov		
1559	K2	2019-09-08 15:08:10	ballot cast	f	medium	Alexei Kouprianov		
1559	K2	2019-09-08 15:08:19	ballot cast	f	old	Alexei Kouprianov	The previous woman helps this one throwing the ballots for her	
1559	K2	2019-09-08 15:08:36	ballot cast	f	medium	Alexei Kouprianov		
1559	K2	2019-09-08 15:08:49	ballot cast	f	old	Alexei Kouprianov		
1559	K2	2019-09-08 15:09:11	ballot cast	f	medium	Alexei Kouprianov		
1559	K2	2019-09-08 15:09:38	ballot cast	m	young	Alexei Kouprianov		
1559	K2	2019-09-08 15:12:21	ballot cast	m	medium	Alexei Kouprianov		
1559	K2	2019-09-08 15:13:42	ballot cast	f	young	Alexei Kouprianov		
1559	K2	2019-09-08 15:14:13	ballot cast	m	young	Alexei Kouprianov		
1559	K2	2019-09-08 15:15:36	ballot cast	f	young	Alexei Kouprianov		
1559	K2	2019-09-08 15:17:52	ballot cast	f	old	Alexei Kouprianov		
1559	K2	2019-09-08 15:21:51	ballot cast	f	old	Alexei Kouprianov	Rather, medium-old, little girl that came with her and with the young-medium man (two lines down) throws ballots for her.	
1559	K2	2019-09-08 15:22:17	ballot cast	m	young	Alexei Kouprianov		
1559	K2	2019-09-08 15:23:10	ballot cast	m	young	Alexei Kouprianov	Rather, young-medium, little girl that came with him and with the medium-old woman (two lines up) throws ballots for him.	
1559	K2	2019-09-08 15:25:52	ballot cast	m	old	Alexei Kouprianov	medium-old	
1559	K2	2019-09-08 15:26:48	ballot cast	f	old	Alexei Kouprianov		
1559	K2	2019-09-08 15:27:01	ballot cast	f	old	Alexei Kouprianov	medium-old	
1559	K2	2019-09-08 15:27:30	ballot cast	f	medium	Alexei Kouprianov		
1559	K2	2019-09-08 15:27:35	ballot cast	f	young	Alexei Kouprianov	Rather young-medium, the little girl that came with her throws the ballot for her.	
1559	K2	2019-09-08 15:32:16	ballot cast	f	young	Alexei Kouprianov		
1559	K2	2019-09-08 15:32:24	ballot cast	f	old	Alexei Kouprianov		
1559	K2	2019-09-08 15:35:18	ballot cast	m	young	Alexei Kouprianov	young-medium?	
1559	K2	2019-09-08 15:36:31	ballot cast	f	medium	Alexei Kouprianov		
1559	K2	2019-09-08 15:36:44	strange behaviour			Alexei Kouprianov	The president of the commission argues with some people (presumably observers) at a small table to the left	
1559	K2	2019-09-08 15:39:46	ballot cast	f	old	Alexei Kouprianov		
1559	K2	2019-09-08 15:41:38	ballot cast	f	medium	Alexei Kouprianov		
1559	K2	2019-09-08 15:42:42	strange behaviour	f	old	Alexei Kouprianov	An old / medium old woman consults another person in a different booth. Walks back and forth.	
1559	K2	2019-09-08 15:43:20	strange behaviour	f	old	Alexei Kouprianov	An old / medium old woman consults another person in a different booth. Walks back and forth. See two lines below.	
1559	K2	2019-09-08 15:44:10	ballot cast	f	old	Alexei Kouprianov		
1559	K2	2019-09-08 15:44:30	ballot cast	f	young	Alexei Kouprianov	young-medium aged woman throws ballots for herself, her kid (boy) does not take part, apparently, she is a relative to the woman in red jacket who consulted her while in the booth	
1559	K2	2019-09-08 15:45:22	ballot cast	m	young	Alexei Kouprianov	can be y-m	
1559	K2	2019-09-08 15:45:37	ballot cast	m	young	Alexei Kouprianov	can be y-m, throws for himself, his kid (boy) does not help	
1559	K2	2019-09-08 15:48:43	ballot cast	f	old	Alexei Kouprianov		
1559	K2	2019-09-08 15:49:22	ballot cast	m	young	Alexei Kouprianov		
1559	K2	2019-09-08 15:49:36	ballot cast	f	young	Alexei Kouprianov		
1559	K2	2019-09-08 15:51:37	ballot cast	f	medium	Alexei Kouprianov		
1559	K2	2019-09-08 15:52:56	ballot cast	m	young	Alexei Kouprianov		
1559	K2	2019-09-08 15:53:20	ballot cast	m	young	Alexei Kouprianov		
1559	K2	2019-09-08 15:53:23	ballot cast	f	young	Alexei Kouprianov		
1559	K2	2019-09-08 15:53:34	strange behaviour			Alexei Kouprianov	the home-voting party departs	
1559	K2	2019-09-08 15:55:04	ballot cast	f	medium	Alexei Kouprianov	could be m-o	
1559	K2	2019-09-08 15:59:00	ballot cast	m	old	Alexei Kouprianov	160000 = 072710	
1559	K2	2019-09-08 16:03:00	ballot cast	f	old	Alexei Kouprianov	The little girl that came with the old lady throws the ballot for her.	
1559	K2	2019-09-08 16:03:53	ballot cast	f	medium	Alexei Kouprianov		
1559	K2	2019-09-08 16:08:31	ballot cast	m	young	Alexei Kouprianov		
1559	K2	2019-09-08 16:09:01	ballot cast	f	medium	Alexei Kouprianov		
1559	K2	2019-09-08 16:09:20	ballot cast	m	medium	Alexei Kouprianov		
1559	K2	2019-09-08 16:10:57	ballot cast	f	young	Alexei Kouprianov		
1559	K2	2019-09-08 16:12:07	ballot cast	f	medium	Alexei Kouprianov		
1559	K2	2019-09-08 16:15:19	ballot cast	f	old	Alexei Kouprianov		
1559	K2	2019-09-08 16:16:42	ballot cast	f	young	Alexei Kouprianov		
1559	K2	2019-09-08 16:18:11	ballot cast	f	medium	Alexei Kouprianov	could be m-o	
1559	K2	2019-09-08 16:20:00	ballot cast	f	young	Alexei Kouprianov		
1559	K2	2019-09-08 16:21:12	ballot cast	m	old	Alexei Kouprianov		
